case_id,summary
8092,"Over several years, the suspect repeatedly committed domestic violence against a partner, often in the presence of their children. In one incident, the suspect entered the victim's home despite being banned from the property and violently assaulted the victim, resulting in arrest on charges including strangulation, domestic violence, criminal trespassing, and driving on a suspended license. The suspect also repeatedly violated court-issued protection orders, including contacting the victim from jail and being found with the victim during a traffic stop. Despite interventions, the pattern of violence and protection-order violations continued throughout the proceedings."
24122,"A suspect who employed a family and provided them housing began tutoring their 14-year-old child, then sent sexually suggestive texts, rubbed the child's legs, hugged her, and once tried to remove her clothes, warning her not to tell anyone or things would go badly for her family. Later, alone with the child, the suspect removed both their shirts and touched her breasts until the child's mother arrived and found the door locked. The suspect fled after being charged and remained a fugitive for years before being located and tried, ultimately convicted of child molestation and sexual battery."
38558,"The primary subject was arrested and criminally charged with operating a vehicle while intoxicated while a six-month-old child was present in the car. This incident led to a child protective investigation, which also revealed unstable housing, untreated mental-health issues, and inadequate supervision of the child. The suspect continued to abuse alcohol over the following two years, at times appearing intoxicated during scheduled visits with the child."
7391,"The suspect served as trustee over a special needs trust and, while managing the trust's accounts, wrongfully withdrew and transferred funds totaling $283,611.63 belonging to the beneficiary. The suspect also moved money between different clients' trust accounts, including depositing other victims' funds into the beneficiary's account and vice versa, obscuring the actual amounts taken. The suspect later pleaded guilty to attempted theft, theft, and money laundering charges and was ordered to pay restitution to multiple victims."
6948,"The suspect was indicted on charges including rape, gross sexual imposition, illegal use of a minor in nudity-oriented material, endangering children, and pandering sexually oriented material involving a minor. The suspect later pled guilty to all seven charges, and the plea was found to be knowing, intelligent, and voluntary. The opinion does not provide further factual details about how the underlying offenses were committed."
35774,"The suspect was convicted of armed robbery after two eyewitnesses at trial identified the suspect as the individual armed with a firearm during the robbery and corroborated details of the offense. Years later, one witness recanted, claiming no robbery occurred and that trial testimony was false, but the court found the recantation not credible given inconsistencies and the corroborating testimony of two other eyewitnesses."
50671,"The suspect was convicted by a jury of attempted aggravated sexual assault of a child. Before sentencing, the suspect entered a plea agreement with the prosecution, receiving a seven-year sentence in exchange for dismissal of another charge and a waiver of appeal rights. The opinion does not describe the specific facts of the underlying assault."
43863,"During a late evening traffic stop attempt in a city, the suspect was caught speeding and, upon an officer's signal to stop, rapidly accelerated and fled. Officers from multiple jurisdictions pursued the suspect at high speeds, covering about eight miles in four minutes with speeds up to 140 mph. Despite police deploying stop sticks that struck the vehicle, the suspect continued fleeing until losing control after crossing railroad tracks, crashing into two parked cars and a light pole, severely injuring a passenger."
51749,"The suspect was seen on a home security camera approaching a back door before fleeing when noticed. Shortly after, at another residence, the suspect emerged from the front door demanding money, confronted the resident, displayed a knife, cut the resident while grabbing a phone, and fled with jewelry and medications in a maroon sedan. The suspect was later identified through a neighborhood social media post, facial recognition, cell phone location data, and pawned jewelry matching stolen items."
56891,"At a New Year's Eve party held at a private residence, a suspect purchased alcohol at a convenience store on the way and gave alcoholic drinks to an attendee, causing both to become intoxicated. During the party, that suspect took the intoxicated attendee into a bedroom and forced sex upon them. The case does not detail how the suspect was later identified or apprehended, focusing instead on subsequent civil litigation over alcohol provision and supervision at the party."
15037,"Outside a nightclub after closing, gunfire erupted amid roughly 800 departing patrons, striking two people, one of whom died. Two eyewitnesses identified the suspect as the shooter: one who had known the suspect for years watched from close range as the suspect lifted a hoodie, drew a firearm, and shot the victim, while another, unfamiliar with the suspect, focused on the shooter for several seconds and later made a photo lineup identification. Cellphone records placed the suspect's phone near the crime scene shortly before and after the shooting, and upon arrest the suspect spontaneously asked what the penalty for murder was before falsely denying having been in the area.'"
6660,"The suspect's former spouse discovered a small taped device hidden in the coat pocket of their young child after picking the child up from a parenting exchange; the device turned out to be a recorder containing several hours of audio recorded inside the ex-spouse's home without consent. The suspect claimed the child must have grabbed the device off a kitchen counter, but the counter was higher than nearby seating, undermining that explanation. After the ex-spouse refused to return the device, the suspect made hostile comments, including calling the ex-spouse a ""sociopath"" and telling them to ""f*** off."" The court found the suspect had deliberately placed the recording device to surreptitiously capture private conversations.
"
25462,"The suspect received a firearm from a family member's partner, later selling it to an individual who was working as a confidential informant. A few days after the sale, the suspect was arrested and subsequently charged with grand theft for possessing and disposing of the stolen firearm. The suspect was convicted at trial on both charges."
35294,"The suspect picked up a woman at an Indianapolis truck stop and, evidence showed, shot her in the head with a rifle before driving south toward Nashville. The suspect was stopped by police, who found bloody clothing in the truck, and later admitted the victim was shot, her head covered with a bag and taped, and that the suspect had cleaned blood from the truck. The victim's remains, showing a gunshot wound, were later found along the interstate route in a wooded area. DNA and physical evidence, including the victim's blood, ATM card, and cell phone, linked the suspect to the killing."
37545,"The defendant kept possession of a car belonging to a family member after the family member withdrew permission to use it. During the unauthorized period, the defendant used the vehicle, including sleeping in it. The trial court found this conduct constituted unauthorized use of a motor vehicle, in violation of the defendant's probation conditions."
39642,"An officer patrolling a high-crime area followed a vehicle to a four-way stop, where the driver failed to signal until after the officer courteously flashed headlights, then turned and later pulled to the curb without signaling. When the officer approached to get identification, the driver fled on foot but was pursued and arrested. A subsequent search of the vehicle revealed suspected cocaine, leading to a felony drug possession charge.'"
44397,"The suspect was charged with aggravated theft for allegedly exploiting a processing error in a company's cash payment app to obtain approximately $157,897.38 between July and December 2022. The charge was later dismissed at the prosecutor's and an investigating gaming-commission officer's recommendation. The case on appeal concerned the suspect's subsequent motion to seal the dismissed record, not further details of the underlying theft.
"
21605,"An officer responding to a report of a parked, running vehicle found the suspect asleep inside at a park entrance around 3:00 a.m. The suspect had slurred speech, constricted pupils, and slow responses, initially refused to exit the vehicle, and failed several field sobriety tests indicating drug impairment. The suspect was arrested for OVI, and a subsequent inventory search of the vehicle uncovered a suspected methamphetamine pipe."
18916,"Late at night, a police sergeant observed a driver crossing the fog line and committing multiple marked lane violations, then stopped the vehicle. Upon contact, the officer smelled a strong odor of alcohol, noticed the driver's eyes were glassy and red, and learned the driver's out-of-state license was suspended and that stated travel directions were inconsistent. Field sobriety tests were administered, with the driver losing balance during one; the driver was arrested for operating a vehicle under the influence and later admitted to drinking."
8357,"The suspect, a registered sex offender previously convicted of unlawful sexual contact and solicitation of a child, was found on probation to possess a smartphone containing hundreds of pornographic images, child erotica, and multiple images of child-sexual-abuse material, including exposed genitalia of infants and young children. Suspicious search terms unrelated to medical topics were found on the device. The suspect claimed the images were for researching a genital medical condition or past abuse, and blamed a housemate, but this explanation was found not credible, resulting in a probation violation for possessing pornography and committing a new offense of possessing child-sexual-abuse material."
2130,"The suspect illegally sold methamphetamine to a confidential informant on four separate occasions over the course of a month. Based on these transactions, the suspect was indicted on five counts of aggravated trafficking in drugs. The suspect later pleaded guilty to all five counts."
7876,"As an official at a religious archdiocese, the suspect abused a position of trust by directing organizational funds to entities under false pretenses, claiming they would provide anti-bullying and professional development programs. After avoiding conviction on related charges due to a jurisdictional technicality, the suspect launched a larger fraud scheme using entities purportedly involving service animals to obtain millions in Paycheck Protection Program and disaster loan funds, defrauding the government and nonprofit of over $2,500,000 over several years."
1029,"Officers responded to a domestic disturbance report and, after the suspect's spouse showed a head injury, determined there was probable cause to arrest the suspect for domestic battery. When informed of the arrest, the suspect said they was not going to jail, walked into a bedroom, refused to place their hands behind their back, and pulled against the officer while being handcuffed. After being handcuffed, the suspect tried to move toward their spouse while being led outside, requiring the officer to use body weight to hold them back."
10573,"The suspect committed robbery with a deadly weapon and was subsequently convicted of that offense. Because the suspect had been released from prison within three years before committing this robbery, the sentencing judge, rather than a jury, found facts qualifying the suspect as a Prison Releasee Reoffender, triggering a mandatory life sentence. The suspect later challenged this sentencing procedure, arguing the judge-made finding violated constitutional jury-trial rights."
3361,"While wanted on active federal and parole-violation warrants, the suspect was tracked to a residence where a task force found the suspect hiding under a bed after an occupant confirmed the suspect lived there. The suspect surrendered upon verbal commands, and a subsequent search of the bedroom uncovered a large quantity of cash and a bookbag containing over 730 grams of methamphetamine. A firearm was later found during a second search of the same residence."
33958,"After the suspect's elderly mother fell at home, the suspect found the victim on the floor but left the victim there for several days, offering only intermittent food, water, and heaters while the victim's condition worsened. The victim developed urine and feces soaking her clothing, pressure sores, dehydration, and sepsis before the suspect called emergency services on the fourth day. The victim later died from complications, including gangrene and organ failure, resulting from prolonged immobility on the floor."
32751,"Over one week, the suspect had sexual contact with three minors, aged eleven and twelve, resulting in convictions for third-degree sexual assault on a child and lascivious acts with a child. While incarcerated, the suspect engaged in numerous consensual sexual encounters violating prison rules, made a sexually suggestive threat toward another inmate, and was removed from sex offender treatment after having a cellmate touch genitals. The suspect later disclosed a sexual history beginning at age ten involving other minors and animals, and described the original offenses as impulsive, stating a desire to simply do what was wanted at the time.
"
1657,"Deputies stopped a vehicle the suspect was driving, and while one deputy spoke with the suspect and passenger, the other observed body armor within the suspect's reach in the back seat. Knowing the suspect was a convicted felon, the deputy questioned the suspect, who admitted a friend had given the armor and stated an intent to return it later. The suspect was arrested and charged with felon in possession of body armor.
"
6847,"The defendant was charged with assault causing bodily injury against a family member and released on bond that prohibited direct or indirect contact with the complainant. Several months later, the defendant was indicted for violating the no-contact bond condition on two or more occasions within a twelve-month period. The defendant was subsequently convicted of the bond-violation offense and sentenced to a probated term of incarceration and a fine."
9278,"A physician operating a solo medical clinic prescribed large volumes of controlled substances, including opioid, benzodiazepine, and sedative combinations, to patients who exhibited red flags such as doctor shopping, requesting drugs by name, failed drug screens, and drug diversion, often without physical examinations and with falsified medical records. The physician continued prescribing despite knowledge of patients' substance abuse issues, and one patient died from an overdose of prescribed oxycodone. After DEA agents questioned the physician about prescribing practices, prescription volumes dropped significantly, suggesting awareness of wrongdoing. A jury convicted the physician on twenty-one counts of unlawful distribution of controlled substances."
27132,"The suspect was convicted of sexually abusing two family members over an extended period, with the abuse occurring repeatedly across multiple years beginning when the victims were children. Both victims reported the abuse to police decades later and testified at trial describing the repeated incidents. The suspect denied ever abusing either victim, arguing physical conditions made the alleged abuse impossible and highlighting inconsistencies in the victims' accounts.
"
21322,"The suspect pleaded guilty to possessing a controlled substance with intent to deliver. The trial court found that the suspect used or exhibited a deadly weapon, a firearm, during commission of the offense. No further details about the manner of the offense are provided in the opinion."
2390,"The suspect faced three pending felony cases: two involving attempted sexual battery against strangers in public, and one involving battery on an on-duty correctional officer during a dispute over medical treatment. After being released into a community-based living facility, the suspect allegedly again attempted to commit sexual battery on a stranger in public. Evaluations showed the suspect suffered from severe psychotic symptoms and had a history of substance abuse and inconsistent medication compliance."
13340,"The suspect was charged with murder and related offenses after a shooting death that occurred around 2:15 a.m. The suspect was arrested and, hours later, was interrogated by a detective at a police station. During the interview, after invoking rights to counsel and silence, the suspect eventually made incriminating statements to the detective about the shooting following further questioning."
15389,"At a church meal program, the suspect followed an elderly volunteer into a stairwell, sexually assualting her until bystanders intervened. Minutes later, as another volunteer escorted the first victim away, the suspect slapped or grabbed her buttocks in passing. Shortly after, the suspect followed a third volunteer into an elevator and ran their hand up her buttocks while saying ""help me"", stopping only when a witness objected. The suspect then hid from staff, denied wrongdoing to police, and was arrested."
41215,"Two people died from gunshot wounds in Somerton, Arizona, and the suspect was arrested afterward. During a search of the suspect's vehicle, police discovered a firearm. The suspect, who had a prior felony conviction, was subsequently charged with two counts of first-degree murder, attempted first-degree murder, aggravated assault, misconduct involving weapons for prohibited possession of that firearm, and unlawful flight from a pursuing law enforcement vehicle."
54825,"The defendant exploited a position of trust as the family babysitter's employer to initiate an inappropriate sexual relationship with the underage victim, manipulating the victim's insecurities and undermining the victim's religious commitment to remain a virgin. The defendant pleaded guilty to aggravated statutory rape after grooming the victim over time rather than acting impulsively. When initially questioned by law enforcement, the defendant did not take the opportunity to admit responsibility for the conduct."
44091,"The suspect was indicted on charges of trafficking in cocaine and possession of cocaine, each with a major drug offender specification. The suspect pleaded guilty to one count of trafficking in cocaine along with the major drug offender specification, and the remaining charges were dismissed. The opinion does not describe the specific facts or conduct underlying the drug offense.'"
20522,"The suspect was indicted for abduction with a firearm specification, unlawful restraint, telecommunications harassment, and two counts of aggravated menacing, after an incident causing harm to victims requiring restitution. The suspect later pleaded guilty to abduction without the firearm specification and to both aggravated menacing counts, admitting to committing the underlying allegations. At sentencing, when asked why the incident occurred, the suspect attributed the conduct to drinking alcohol and a series of poor judgments. The suspect also reportedly disarmed a co-defendant during the incident and later apologized to the victims."
39748,"The suspect was indicted on multiple felony drug trafficking charges in two separate cases, ultimately pleading guilty to one count of aggravated trafficking in drugs in each case (a second-degree felony and a third-degree felony). The opinion does not describe the specific manner in which the trafficking occurred or how the suspect was identified or apprehended, focusing instead on the guilty plea and subsequent appeal."
32772,"The Iowa Department of Health and Human Services determined that the suspect denied critical care to a child or failed to provide proper supervision, an incident that also led to a child endangerment charge. The suspect pleaded guilty to simple-misdemeanor assault to resolve the criminal case. Based on this incident, the department placed the suspect on the central registry for founded child abuse."
44075,"The suspect pled guilty to enticing a child through the use of the internet or another communication device, resulting in a suspended sentence and probation with conditions restricting contact with minors. While on probation, the suspect was later accused of contacting multiple juveniles via social media, accessing pornography on a smartphone, and failing to surrender that phone as required, despite treatment restrictions meant to protect the public."
12335,"Following a report of a family dispute, law enforcement issued a bulletin identifying the suspect as driving a red Toyota Camry. When an officer activated emergency lights to initiate a traffic stop, the driver initially appeared to pull over but then sped away through a residential neighborhood, reaching 60-65 mph in a 25 mph zone, passing another vehicle, and running a stop sign. Officers did not pursue per department policy, but two officers identified the suspect as the driver based on prior familiarity with his appearance. A warrant was later issued for the suspect's arrest."
46291,"During an argument that began when the suspect cursed at a family in a restaurant parking lot, the victim approached and asked what was happening. The suspect told the victim to leave, then, according to multiple witnesses, exited the car and shot the unarmed victim multiple times from several feet away, striking the victim in the head and leg. After the shooting, the suspect fled the scene with a companion who retrieved the firearm, later returning when contacted by police. The victim suffered a serious head injury requiring surgery and partial skull removal.
"
29524,"A police officer stopped a vehicle for having an illegible license plate. Upon approaching, the officer observed signs of intoxication, reddish eyes, strong odor of alcohol, and sweating, and made the appropriate warnings before arresting the driver. The driver voluntarily consented to a breathalyzer test at the police station roughly 24 minutes later, which registered 0.128% blood alcohol content, without a field sobriety test being administered at the scene."
51811,"During a domestic argument, the suspect became upset over missing a family event and grew agitated with a partner. The suspect grabbed the partner's purse, which contained a firearm, and stated that if the suspect wanted to do something, it could not be stopped by law enforcement. The partner left the residence, and while driving away heard a gunshot; a trial court found it more likely than not that the suspect fired the weapon."
2588,"The suspect was indicted on multiple counts of rape, sexual battery, and gross sexual imposition involving two minors. The suspect later entered no contest pleas to one count of attempted rape and one count of rape, with the remaining charges dismissed. The suspect was sentenced to a consecutive mandatory prison term of nineteen years for these offenses."
21076,"The suspect, acting as stepparent to two minor stepdaughters, repeatedly raped and sexually assaulted them over multiple years, beginning when one victim was 14 and continuing for years, with the other victim abused twice over a seven-year span. The suspect used the parental relationship to facilitate the abuse and isolate the victims from family and community, causing them serious physical and psychological harm, including PTSD, panic attacks, and seizures. The suspect confessed to forcing the minors into sexual intercourse and pleaded guilty to eight counts of rape."
6416,"Early one morning, during a car-break-in spree, a victim confronted the group; a witness saw the defendant exit a car and shoot the victim multiple times, later bragging about killing him. The next evening, after an argument escalated, the defendant told a second victim ""I will shoot you"" and shot him once in the chest in front of multiple witnesses before fleeing. The defendant was later arrested on an unrelated warrant; the firearm used in both shootings was never recovered, though forensic testing linked casings from both scenes to a single weapon.
"
759,"During a New Year's Eve gathering, an altercation prompted the victim's sibling to arrive and pick them up; the suspect then arrived armed with a handgun, shouted orders to two accomplices to strip and shoot the victim and the sibling, and fled bystanders escaped while the victim was robbed and shot. The suspect and accomplices fired numerous rounds into the victim's vehicle, killing the victim, with dozens of shell casings recovered at the scene. The suspect was later arrested pursuant to a warrant and made statements to police during a post-arrest interview."
25089,"On a specific date in a coastal area, the primary suspect allegedly destroyed or damaged property belonging to another, valued over $500, and took the law into their own hands rather than seeking proper authorities. The suspect was also accused of conspiring to threaten or intimidate justice system officials and using violence or intimidation against public authority. An alleged accomplice was accused of acting in agreement with the suspect to commit the property destruction and vigilante conduct."
5569,"Police surveilling a suspected drug trafficker observed the suspect drive a car involved in a minor traffic violation, prompting a stop. A drug-detection dog circling the car exhibited behavioral changes (rapid breathing, head turn) indicating it smelled narcotics, though it did not give a formal trained alert. Officers searched the vehicle and found methamphetamine, cocaine, fentanyl, and alprazolam concealed in a sunglasses compartment, leading to drug distribution charges and an obstruction charge against the driver."
35143,"During a nighttime traffic stop for a seatbelt violation, the suspect reversed the vehicle and fled, prompting officers to pursue for about 20 minutes until the suspect crashed into a tree and fence in a wooded area, then fled on foot before being caught and arrested for obstruction. While checking the crashed vehicle for occupants, an officer inadvertently observed bags containing a white powder resembling cocaine in plain view, leading to additional drug charges."
53583,"The defendant killed a bull elk and a cow elk while hunting with a family member inside a state wildlife refuge that was closed to public access during winter closure, crossing a cable gate despite seeing posted closure signs. The defendant had no license, tag, or permit to hunt elk and no valid treaty hunting right authorizing the taking, though a family member believed treaty rights permitted the hunt. The defendant stipulated to knowingly killing both elk on the closed, state-owned refuge land."
23479,"Officers responded to a disturbance where the victim reported that after breaking up with the suspect, the suspect asked the victim to return items, then confronted the victim outside, grabbed the victim by the neck with both hands, and choked them until they lost consciousness. Witnesses saw the suspect pushing the victim into an apartment and later observed the suspect gripping the victim by the shoulder during a struggle before fleeing and throwing eggs at bystanders. The victim exhibited visible distress, hyperventilation, a raspy voice, and neck redness afterward."
12592,"A physician was charged with unlawfully distributing oxycodone after prescribing the drug to a patient on six occasions, despite knowing the patient was addicted to opioids and each prescription following a positive drug test for heroin or cocaine; the patient died of an opioid-related overdose days after the final prescription. The physician pled guilty to all six counts. On appeal, the physician argued the guilty plea was invalid for lack of proper mens rea instruction, but this claim was rejected as procedurally defaulted."
8685,The suspect was charged with breaking into the victim's office and stealing a pistol and a nail gun. The suspect later pleaded guilty to attempted breaking and entering and petty theft.
45219,"A pedestrian was struck and killed by a vehicle in front of their home early one morning. The driver fled the scene without stopping and was later identified, arrested, and charged with leaving the scene of an accident resulting in injury or death, a Class C felony. Investigating officers found no evidence supporting a more serious charge, treating the death as the result of a traffic accident. The driver was later convicted and sentenced for the leaving-the-scene offense."
34059,"The suspect pleaded guilty to multiple offenses including domestic violence, aggravated menacing, menacing by stalking, and telecommunications harassment against a victim. The conduct included sending death-threat letters and electronic posts causing the victim to fear physical harm to themselves and family members, as well as making threatening telephone calls. These acts occurred on separate dates across March and April, involving distinct methods of threatening the victim."
9559,"A supervised releasee with a history of alcohol-related crimes, on release following a methamphetamine conspiracy conviction, became frustrated with a partner and drank an entire bottle of liquor until blacking out. This led to a physical and verbal altercation with the partner, prompting a police response and arrest. In police custody, the suspect slipped handcuffs to the front, tried to damage the patrol car, and was pepper-sprayed; at the jail, the suspect flooded a cell, kicked the door, urinated on the floor, and threw feces. The suspect was subsequently charged with domestic battery and resisting arrest and had supervised release revoked."
29369,"The suspect committed multiple burglary and theft offenses in a county over several months. While later held in another jurisdiction on unrelated charges, the suspect was identified as a suspect in these offenses and, after being read Miranda rights, admitted involvement during a police interview. Arrest warrants were obtained but not executed for roughly three years, during which the suspect remained in custody for the unrelated matter before eventually being arrested and charged for these offenses."
37229,"Over about a month, the suspect repeatedly assaulted a cohabiting romantic partner. Incidents included grabbing the victim by the throat and slamming their head into a garage door and concrete floor, striking the victim's head with a wooden board while threatening to kill them, hitting the victim's face and leg with a screwdriver, and later punching the victim in the face. Days after the final assault, the victim was hospitalized with a brain bleed requiring emergency surgery and a medically induced coma."
12866,"Following reports of an emaciated, lethargic dog with open wounds, animal control officers investigated, and the dog was later euthanized by the Humane Society. The dog's registered owner was charged with felony animal neglect/abandonment causing serious injury. The suspect pled no contest and was placed on probation, with a condition requiring reimbursement to the Humane Society for costs of pickup, removal, euthanasia, and necropsy of the animal."
32780,"Police responded to a reported domestic disturbance and were told by the suspect's spouse that the suspect was upstairs, had an outstanding arrest warrant, and kept a firearm in a black bag near the bed. The suspect had an active warrant and was arrested; officers did not immediately find the bag. Based on the spouse's statements, officers obtained a search warrant and found the bag hidden under carpet on the porch, containing drug paraphernalia and a pistol, leading to a felon-in-possession firearm charge."
41242,"While driving on a state highway around midday, the suspect crossed the center line and collided head-on with an oncoming vehicle carrying two occupants, both of whom suffered serious injuries requiring life-flight transport. A search of the suspect's vehicle revealed alcohol, and blood testing showed a blood alcohol content of 0.144. The suspect was later found guilty of two counts of aggravated vehicular assault and OVI after entering a no-contest plea."
8948,"The defendant was arrested in connection with a fatal shooting after a victim was found pinned between a crashed vehicle and a house, having suffered gunshot wounds and blunt force trauma. During a videorecorded police interrogation, the defendant initially claimed the vehicle had been carjacked, but after being confronted with alleged surveillance footage and inconsistencies, invoked the right to counsel. Following a lengthy delay in which no attorney was secured, the defendant resumed talking to police and ultimately admitted to shooting the victim and striking them with a car, claiming self-defense."
3062,"A 14-year-old was fatally shot 15 times while walking with the suspect near a residence where the suspect's romantic partner lived. Surveillance video showed the suspect pause as if tying a shoe, then shoot the victim in the back as he walked ahead, continuing to fire as the victim lay on the ground before fleeing. An anonymous tip, cell phone location data, social media posts showing the suspect with a matching firearm, and post-shooting internet searches about the murder linked the suspect to the killing.The suspect and victim had communicated online, and the victim had recently been spending time with the suspect's partner."
473,"The suspect's child was found unresponsive in the carport with a single gunshot wound to the chest at the family home. The suspect told responding officers and detectives that the child had collapsed in the washroom and that the suspect left to seek help. Investigators found reports of prior disturbances between the suspect and a partner, who was confirmed via hotel receipt and security video to have been elsewhere at the time. The suspect was convicted of first-degree murder and using a firearm to commit the offense."
49952,"The defendant was indicted on multiple drug trafficking and possession charges occurring on separate dates in April and May, plus having weapons while under disability after being found with a firearm despite a prior felony drug conviction. A separate case charged additional weapons and drug possession offenses occurring later. The defendant pleaded guilty to amended charges including attempted aggravated trafficking, aggravated trafficking with money forfeiture, and having weapons while under disability with weapon forfeiture."
40931,"The suspect pleaded guilty to online solicitation of a minor and was placed on deferred adjudication community supervision. While on supervision, the suspect failed to comply with multiple conditions, including failing to register as a sex offender, leading to a new charge for that offense. The suspect later pleaded true to the supervision violations and guilty to the failure-to-register charge."
12703,"The suspect pleaded guilty to transportation and possession of child pornography. Evidence showed the suspect participated in online chatrooms that required members to submit child pornography images in order to join and to receive additional such images from other participants, showing an implicit agreement to exchange the material for more child pornography. The suspect also had a separate prior state offense for sexual assault of a child. The suspect was sentenced to 360 months in prison."
52599,"A stolen flatbed truck was reported missing from a property after a shop was broken into and ransacked. A witness later found the truck broken down on a rural road with two people, one of whom was the defendant; both declined offers of help, gave a vague explanation, and later abandoned the vehicle. When police approached and drew weapons, the defendant fled into a snowy field, hiding until developing hypothermia. No evidence directly linked defendant to the theft itself or showed they recognized the truck as stolen."
4763,"A hunter shot a mule deer while hunting near a state border, then claimed the deer wandered into the other state before dying and was field dressed there. Investigators found physical evidence including tracks, a kick-out spot, a suspected shooting location, and bullet fragments in the carcass all located in the other state, with no tracks indicating the deer crossed from the inital state. A rival hunting group heard a gunshot and observed the hunter and a guide field dressing the deer only minutes later at the spot where it had been seen bedded down in the other state. The hunter was convicted of wanton destruction of protected wildlife for illegally shooting the deer in the other state."
49807,"During execution of a search warrant at a residence with an attached trailer, officers found a suspect inside the trailer and, upon searching it, discovered a rifle in plain view in the kitchen and a handgun hidden in a clothes hamper with nearby ammunition, along with mail addressed to the suspect. The suspect, a previously convicted felon, testified the trailer belonged to a relative, denied knowledge of the firearms, and claimed multiple people had access to the trailer.  A jury found the suspect guilty of felon-in-possession of a firearm as a habitual offender.  No fingerprint testing was conducted on the weapons."
14397,"The suspect had been sexually trafficking and sexually assaulting a minor victim; after learning of a pending arrest warrant, the suspect fled, purchased disguises and an untraceable phone, and stated there would be ""no witness, no case."" The suspect returned, forced entry into the victim's family home using a fake pizza delivery, and shot the stepfather, while an accomplice shot and killed the suspect's intended target's family member and wounded two others, mistaking her for the intended victim. The suspect was identified by voice and sight by survivors and was later apprehended in disguise driving the vehicle used in the crime."
13641,"During an altercation with a romantic partner, the suspect allegedly fired a gun inside a residence; a subsequent search recovered a pistol and a rifle. After arrest, the suspect admitted to possessing both firearms while knowing of a prior felony conviction and being prohibited from possessing firearms. The suspect also had a prior misdemeanor domestic battery conviction, leading to federal firearm-possession charges"
