,case_id,summary
62,11234,"Susan Yates's beaten and strangled body was found in a cemetery, with signs of sexual assault including vaginal and anal injuries. The suspect, who had a prior conviction for choking and raping a teenage girl, was identified after his wife reported that he had confessed to her, and he was later arrested and charged with aggravated murder and rape. He admitted at trial to killing Yates during what he claimed was consensual ""rough sex"" involving strangulation, but denied intentionally murdering or raping her; the state's medical examiner testified that the physical evidence, including extensive bruising, neck injuries, and an object inserted deep in the victim's rectum, was inconsistent with the suspect's account and indicated a violent sexual assault and prolonged strangulation. DNA evidence connected the suspect to the victim, and he fled the scene without contacting police after the killing."
67,5777,"The suspect, CEO of a technology company, orchestrated a scheme beginning around 2014 to fraudulently obtain IPv4 internet addresses from ARIN, the nonprofit registry responsible for allocating them. He created fictitious shell companies and invented fake corporate officers, submitting fraudulent documentation under these fake identities to justify requests for additional IP address blocks. Through this scheme, he and his company obtained approximately 1.3 million IPv4 addresses, which he then resold through third-party brokers for about $3.3 million in profits. The fraud was uncovered when ARIN flagged a subsequent attempt to sell $6 million worth of IPv4 addresses and blocked the transfer."
70,40916,"This is a civil defamation and frivolous-complaint lawsuit, not a criminal case; a plaintiff sued a defendant over Texas Ethics Commission sworn complaints she had filed, alleging they were defamatory and frivolous. The jury found the complaints were not defamatory or frivolous, resulting in a take-nothing judgment against the plaintiff. There is no underlying criminal incident or identifiable criminal suspect described in this opinion.

null"
83,54109,"The defendant was charged with murder and released on a $1 million bail bond posted by a surety, with a court order that he return on all future hearing dates. After personally appearing at several proceedings, the defendant later missed a hearing because he had been arrested and jailed on a separate domestic violence matter, and at subsequent hearings his attorney appeared on his behalf pursuant to a waiver of personal appearance, including once when the defendant reported testing positive for COVID-19. When the defendant failed to appear at a later hearing without excuse, the trial court forfeited the bail bond. The case concerns whether the trial court properly retained jurisdiction to forfeit the bond given the defendant's earlier absences and waivers, rather than the underlying murder allegation itself."
84,7957,"The appellee was arrested and charged with misdemeanor criminal trespass as part of a state border security initiative known as Operation Lone Star. The opinion does not provide further details about the specific circumstances of how the trespass occurred. The appellee later challenged the prosecution through a pretrial habeas corpus application, but the opinion's substantive discussion centers on that legal challenge rather than additional facts about the underlying trespass offense itself."
88,14325,"The defendant pled guilty to possession with intent to distribute methamphetamine and was sentenced to 151 months in prison, followed by three years of supervised release, along with a $1,000 fine and $100 special assessment. This appeal does not concern the underlying drug offense itself but rather a sentencing dispute over whether the district court properly ordered the fine and assessment due immediately while also setting a minimum payment schedule in light of the defendant's indigency. The court affirmed, holding that ordering the monetary penalties due immediately while allowing installment payments through the Bureau of Prisons Inmate Financial Responsibility Program did not violate 18 U.S.C. § 3572(d)(1)."
92,8092,"This is a permanent custody appeal in which the underlying incident involves repeated domestic violence by the father against the mother, witnessed by their children. In one documented instance in July 2023, the father, who was banned from the mother's property, broke into her home uninvited and strangled her in front of the children while she was pregnant, resulting in his arrest on charges including strangulation, domestic violence, criminal trespassing, and driving on a suspended license. Other incidents included a prior altercation in which the mother suffered a broken foot, and a separate occasion where the father was banned from the mother's apartment after another domestic violence incident, though those charges were reduced to disorderly conduct. Despite protection orders, the mother repeatedly resumed contact with the father, including accepting over 50 jail calls from him and seeking leniency on his behalf after the strangulation assault."
94,24122,"The defendant, who employed the victim's parents and provided them housing, began tutoring the 14-year-old victim in English and subsequently sent her sexually suggestive text messages, rubbed her legs, hugged her, and attempted to remove her clothing during tutoring sessions, warning her not to tell anyone or things would go badly for her family. In early April 2016, while alone with the victim in her home, the defendant removed his shirt and the victim's shirt and touched her breasts, an incident interrupted when the victim's mother arrived home to find the door locked and saw him buttoning his shirt while leaving the room. The victim's family then returned to Alabama and reported the abuse to law enforcement. After being indicted, the defendant failed to appear for trial and remained a fugitive for approximately five years until he was spotted at a wedding and reported to authorities, leading to his eventual trial and conviction."
95,38558,"The underlying matter arose from a child protective proceeding in which respondent was arrested and criminally charged with operating a vehicle while intoxicated after being caught drunk driving with her then six-month-old child in the car. This incident, along with allegations of unstable housing, untreated mental-health issues, and inadequate supervision, led to the child's removal from her care. Over the following two years, respondent continued to abuse alcohol, repeatedly missed parenting visits, and on several occasions arrived for parenting time visibly intoxicated, ultimately missing 96 of 154 scheduled visits. She also failed to meaningfully participate in or benefit from services addressing her substance abuse, parenting skills, mental health, and housing instability."
96,24287,"The suspect was charged by accusation with driving with a suspended license in violation of OCGA § 40-5-121. The opinion does not provide further details about the circumstances of the offense, such as how or when the alleged driving occurred. The case before the court concerned only procedural issues related to an untimely interlocutory appeal of the denial of a motion to dismiss the accusation."
97,7391,"The defendant, acting as trustee, pleaded guilty to attempted theft, theft, and money laundering after wrongfully removing $283,611.63 from a beneficiary's special needs trust account. Her scheme involved improperly transferring funds between the trust's PNC account and other clients' or third-party accounts, and making deposits that were quickly withdrawn, obscuring the true amount misappropriated. She was sentenced to four years' imprisonment and ordered to pay restitution to multiple victims, including the trust beneficiary, with additional civil proceedings later determining further damages owed for the breach of fiduciary duty.ed."
115,6948,"The defendant was indicted on one count of rape, two counts of gross sexual imposition, two counts of illegal use of a minor in nudity-oriented material or performance, one count of endangering children, and one count of pandering sexually oriented material involving a minor. The defendant subsequently pled guilty to all seven charges as set forth in the indictment, and the trial court found the plea was entered knowingly, intelligently, and voluntarily. The opinion does not provide further detail about the specific conduct underlying these offenses."
116,35774,"The defendant was convicted in 2003 of armed robbery after an eyewitness testified he was robbed at gunpoint by the defendant. Two separate additional eyewitnesses at trial unequivocally identified the defendant as the man armed with a firearm on the day of the robbery and corroborated details of the offense. Years later, the original witness signed an affidavit recanting his trial testimony, claiming he was never robbed, but at an evidentiary hearing the trial court found this recantation incredible due to inconsistencies and omissions between the affidavit and the hearing testimony.
"
117,50671,"The defendant was convicted by a jury of attempted aggravated sexual assault of a child. Before sentencing, he entered into a plea agreement with the State in which one count of the indictment was dismissed, he agreed to a seven-year sentence, and he waived his right of appeal. The opinion does not describe the specific facts or conduct underlying the assault charge."
118,43863,"In the late evening of March 3, 2025, the suspect was caught speeding in Troy, and when an officer attempted a traffic stop, he rapidly accelerated and fled, leading multiple law enforcement agencies on a high-speed pursuit covering roughly eight miles in about four minutes, with speeds reaching approximately 140 mph. Even after officers deployed stop sticks that struck his vehicle, the suspect continued fleeing until he lost control after crossing railroad tracks, crashing into two parked cars and destroying a light pole. The crash severely injured the suspect and his father, who was a passenger and had no pulse when officers arrived, requiring revival. The suspect was subsequently charged with and pled guilty to failure to comply with an order or signal of a police officer."
121,51749,"On June 30, 2022, a man was captured on a homeowner's security camera approaching a house on East Cooke Road, looking at the camera, and immediately leaving without entering. Approximately an hour later, at a home on West Dublin Granville Road, a man emerged from the front door carrying a bag, confronted the returning homeowner while demanding money, attempted to grab her cell phone, and cut her with a knife before fleeing in a maroon Saturn with stolen jewelry and medications. Cell phone location data placed the suspect's phone near both locations at the relevant times, and the suspect was found to have pawned several pieces of jewelry, later identified by the victim as hers, on the same day as the theft. The suspect was identified through facial recognition software applied to a photo from a neighborhood social media post and was subsequently arrested and convicted of burglary and theft from a person in a protected class."
128,56891,"On New Year's Eve 2021, a then-fifteen-year-old girl attended a party at the home of an adult host, where the host's son and other teenagers were drinking alcohol. One of the boys at the party purchased alcohol at a convenience store, gave the girl alcoholic drinks at the party, and both became intoxicated. During the party, that boy took the girl into a bedroom and forced her to have sex with him. The girl's parents subsequently sued the boy, the convenience store, and the adult homeowner who allegedly supplied alcohol to the minors and failed to supervise the party, though the boy who assaulted the girl later settled and was dismissed from the suit.'"
131,58175,"Law enforcement officers with the Bureau of Indian Affairs conducted a criminal investigation and seized industrial hemp products that the suspect was offering for sale at a car wash/convenience store. A tribal court subsequently brought a single charge against the suspect related to this seizure, but that charge was later dismissed. Despite the dismissal, the seized hemp products were not returned to the suspect, prompting claims regarding the retention of the property."
134,15037,"In the early morning hours after a Providence nightclub closed, gunfire erupted outside amid a crowd of patrons, striking two people, one of whom died. Two eyewitnesses identified the defendant as the shooter: one who had known him for years testified she watched him lift his hoodie, retrieve a firearm, and shoot the victim, while another, standing about eight feet away, identified him from a photo lineup days later. When later taken into custody, the defendant spontaneously asked an officer what the penalty for murder was in Rhode Island, then denied having been in Providence at all in the preceding year, a claim contradicted by cellphone tower records placing his phone near the crime scene shortly before and after the shooting. A jury convicted him of first-degree murder and related offenses based on this evidence."
136,6660,"The defendant was accused of secretly placing an audio recording device, disguised with masking tape, into the pocket of his young child's coat before a custody exchange, resulting in a roughly five-hour recording of the child's mother inside her home without her knowledge or consent. The mother discovered the device in the coat after noticing it was unusually heavy, and when confronted, the defendant claimed the child must have taken it off a kitchen counter, though the counter was shown to be too high for the one-year-old to reach. After the mother refused to return the device, the defendant made hostile comments to her, including calling her a derogatory name and telling her to leave him alone, which the court found consistent with guilty knowledge. The recordings recovered from the device captured private conversations between the mother and the child and between the mother and her own mother, forming the basis of the eavesdropping charge.”}"
139,25462,"The defendant was given a firearm by her son's girlfriend, knowing or having reason to know it was stolen, and later sold the firearm to an individual who was working as a confidential informant. A few days after completing the sale, the defendant was arrested. She was subsequently charged with and convicted of grand theft based on both possessing and disposing of the stolen firearm."
140,35294,"The defendant picked up a woman at an Indianapolis truck stop and shot her in the head with his rifle, later placing a plastic bag over her head and tape around her neck, then drove her body south on I-65 toward Nashville. He was stopped by police at a Tennessee truck stop, where officers observed blood in his truck, and after consenting to a search, bloody women's clothing and other evidence were found; he then admitted to the shooting and to cleaning blood from his hands and the truck. The victim's remains were later discovered in a wooded area in Kentucky near I-65, identified years later through DNA analysis, and evidence including her ATM card, cell phone, and DNA on a condom in the truck linked the defendant to her death. The defendant was subsequently convicted of murder, with courts finding the killing occurred in Indiana before he transported the body south."
143,37545,"The defendant was on probation following convictions for aggravated theft and felon in possession of a firearm. During his probation, his mother withdrew her permission for him to use her car, but the defendant continued to retain the vehicle, including sleeping in it during the period after authorization was revoked. This conduct formed the basis for a finding that he committed unauthorized use of a motor vehicle by failing to obey all laws while on probation. Separately, he was terminated from a court-ordered drug treatment program after failing to successfully participate, which the court also found to be a probation violation."
144,39642,"An officer observed a vehicle he had previously noticed parked in a high-crime area, and at a four-way stop the driver activated his turn signal only after the officer flashed his headlights, then turned in front of the officer's cruiser and, moments later, pulled to the curb without signaling. When the officer initiated a traffic stop based on suspected turn-signal violations, the driver got out, approached the cruiser, but then fled on foot when the officer tried to obtain his identification; he was pursued and apprehended. A search of his vehicle following the stop revealed a quantity of suspected cocaine, leading to an indictment for cocaine possession in an amount between 27 and 100 grams."
146,44397,"The suspect was charged with aggravated theft for allegedly depriving a payment processing company of $157,897.38 between July and December 2022 by exploiting a processing error in the company's cash club wallet app. The charge was later dismissed on the recommendation of the prosecutor and an investigating officer with the Ohio Casino Control Commission. The suspect subsequently sought to have the record of the dismissed case sealed, which the company opposed as a victim asserting rights under Ohio's victims' rights constitutional amendment.</summary"
147,21605,"At approximately 3:00 a.m., a police officer responding to a report of a parked car found the suspect asleep inside a running vehicle with slurred speech, constricted pupils, and slow responses. After the suspect passed an alcohol-impairment test but failed drug-impairment field sobriety tests, including showing lack of eye convergence, misjudging a time-estimation task, and failing a finger dexterity test, the officer arrested him for OVI. A subsequent inventory search of the vehicle before towing revealed an item the officer believed to be a methamphetamine pipe, leading to drug possession charges. The suspect ultimately pled guilty to aggravated drug possession and an amended OVI charge."
150,18916,"During a traffic stop after midnight, an officer observed the suspect driving over the fog line and committing multiple marked lane violations. Upon making contact, the officer smelled a strong odor of alcohol, noticed the suspect's eyes were glassy and red, and learned the suspect was driving in a direction inconsistent with his stated destination. The suspect performed field sobriety tests showing at least one clue of impairment, and after his arrest he admitted to having been drinking. Based on these observations, the officer arrested the suspect for operating a vehicle under the influence."
151,8357,"The defendant, previously convicted of first-degree unlawful sexual contact and sexual solicitation of a child, was on probation as a Tier III sex offender subject to conditions barring possession of pornography. While on probation, he possessed a smartphone containing hundreds of pornographic images, including at least eight images of child sexual abuse material and child erotica, such as images of naked infants and young children with exposed genitals, along with web searches like ""cute little girl."" He claimed he was researching genital birth defects related to his own medical condition and blamed a housemate for placing the images on his phone, but the court found this testimony not credible and noted the images were of children outside any medical context. Based on this evidence, the court found he violated his probation by possessing pornography and by committing a new offense of possessing child sexual abuse material, leading to revocation of his probation and a new sentence."
155,25720,"This case concerns a juvenile court's termination of a mother's parental rights to her infant son, who tested positive for THC at birth and was removed from her custody shortly after. The mother has a lengthy history of substance abuse, having entered treatment programs five times without maintaining sobriety, and had four other children previously removed from her care due to similar issues, with her parental rights to those children also terminated. During the proceedings for this child, she continued to miss drug screenings, tested positive for marijuana and alcohol, was charged with operating while intoxicated, struggled with unstable housing, failed to adequately address documented domestic violence concerns, and did not complete recommended parenting classes, demonstrating a pattern of brief engagement with services followed by loss of momentum.</summary>}"
159,2130,"The defendant illegally sold methamphetamine to a confidential informant on four separate occasions in May 2024. Based on these transactions, he was indicted on five counts of Aggravated Trafficking in Drugs. The defendant pleaded guilty to all five counts and was sentenced to a mandatory prison term, with certain counts merged and ordered to run both concurrently and consecutively, resulting in a minimum nine-year and maximum twelve-year prison term.}"
160,7876,"The defendant, an official at a religious archdiocese, abused his position of trust by directing organizational funds to entities he secretly controlled under the false pretense that they would provide anti-bullying, crisis intervention, and professional development programs, defrauding the organization. After narrowly avoiding conviction in a separate prosecution related to this scheme, he launched a second fraudulent scheme in which he used entities purporting to work with service and emotional support animals to fraudulently obtain millions of dollars in federal Paycheck Protection Program and Economic Injury Disaster Loan funds intended for COVID-19 relief. This second scheme was carried out over several years and resulted in ill-gotten gains dwarfing the amount taken in the first scheme, with total fraud losses exceeding $2,500,000. He ultimately pleaded guilty to wire fraud and money laundering charges.'"
164,1029,"Police responded to a report of a domestic disturbance and were told by the suspect's husband that she had hit him, leaving a visible head injury, giving officers probable cause to arrest her for domestic battery. When informed she was under arrest, the suspect said she would not go to jail, retreated into a bedroom, refused to place her hands behind her back, and pulled against the officer as he handcuffed her. After being handcuffed, she attempted to move toward her husband while yelling at him, requiring the officer to use his body weight to keep her from pulling him along. The domestic battery charge was later dismissed when the State's witnesses failed to appear, and she was instead convicted of resisting law enforcement based on this conduct during the arrest."
165,50074,"The defendant was indicted for rape and disseminating matter harmful to juveniles, offenses alleged to have occurred in October 2013. Under a negotiated plea agreement, the defendant pleaded guilty to an amended charge of rape, a first-degree felony, and the dissemination charge was dismissed. The opinion does not describe the specific facts or conduct underlying the rape offense. The appeal concerned only whether the trial court properly sentenced the defendant under the applicable sentencing law given the date of the offense, not the details of the criminal conduct itself."
168,10573,"In May 2002, the defendant committed robbery with a deadly weapon within three years of being released from a state correctional facility, qualifying him for sentencing as a Prison Releasee Reoffender under Florida law. Based on this qualifying prior release and the robbery conviction, a judge, rather than a jury, made the factual finding under the PRR statute that exposed the defendant to a mandatory minimum life sentence. The defendant was subsequently sentenced to a mandatory life term, which he later challenged as unconstitutional because the PRR determination was made by a judge under a preponderance-of-the-evidence standard rather than by a jury beyond a reasonable doubt.”,"
170,3361,"While wanted on a federal firearm warrant and a parole-violation warrant, the suspect was tracked to a residence where he was found hiding under a bed after a woman at the house confirmed he lived there and was hiding in the southwest bedroom. When task force members issued verbal commands, he surrendered without resistance. A subsequent search of that bedroom, conducted pursuant to a consent-to-search condition of his post-release control and consent from the woman at the residence, uncovered a large amount of cash and a bookbag containing over 730 grams of methamphetamine. A later search of the same residence also recovered a firearm."
191,33958,"The defendant lived with his 92-year-old mother, who fell in their home on a Friday while he was at work; he found her on the floor but did not seek medical help, and she remained there through the weekend and into the following Monday, when he called 911 after she stopped responding to him. During this period he offered her food, water, and heaters but did not get her up or obtain medical care despite her worsening condition, including urine- and feces-soaked clothing, pressure sores, dehydration, and eventual sepsis. He admitted to a responding officer that leaving her on the floor for four days constituted neglect, though he denied being her formal caregiver. The victim died approximately one month later from complications, including gangrene and organ failure, that a medical examiner attributed to being left on the floor for an extended period.'"
196,32751,"Over the course of one week in fall 2017, the suspect, then twenty-one years old, had sexual contact with three female minors, two aged eleven and one aged twelve, resulting in convictions for third-degree sexual assault on a child and two counts of lascivious acts with a child. The suspect described his motivation by saying he "
197,1657,"During a traffic stop, a deputy observed body armor in the back seat of the defendant's car, within his reach, and recognized that the defendant was a convicted felon. When questioned about the armor, the defendant stated that a friend had given it to him and that he intended to return it at some point. Based on the deputy's knowledge of the defendant's felony status, the defendant was arrested and charged with felon in possession of body armor. The defendant was later found guilty of this charge following a bench trial."
198,6847,"The suspect was charged with assault causing bodily injury against a family member and was released on bond that prohibited any direct or indirect contact with the complainant. Several months later, the suspect was indicted for violating the conditions of the bond two or more times within a twelve-month period by having contact with the complainant. He was subsequently convicted and sentenced to a ten-year probated term of incarceration and a $500 fine for these bond violations."
202,14621,"A suspect fled from police in a vehicle after allegedly running a red light, leading officers on a high-speed chase exceeding ninety miles per hour through a residential area with a much lower posted speed limit. During the pursuit, at night, one of the pursuing officers used a PIT or ramming maneuver that struck the suspect's vehicle, causing it to swerve, possibly into oncoming traffic, and crash into a tree, killing the suspect. The officers left the scene without rendering aid or calling for medical assistance and later falsely reported the crash as a single-car accident, in violation of department pursuit policy prohibiting chases of misdemeanor suspects."
203,9278,"A physician was convicted on twenty-one counts of unlawfully distributing controlled substances after evidence showed that over several years he prescribed large volumes of narcotics, including dangerous drug combinations, to patients exhibiting numerous ""red flags"" of drug diversion or abuse, such as doctor-shopping, failed drug screens, requests for specific narcotics by name, addresses far from his office, and known substance-abuse problems. He often failed to physically examine patients despite charting that he had done so, and evidence showed he falsified records and misrepresented his practices to DEA investigators. His prescribing to one patient resulted in that patient's fatal overdose on oxycodone, supporting a sentencing enhancement. After DEA agents questioned him about his practices, his prescription volume dropped significantly, which the jury could view as evidence he knew his prior prescribing had been unauthorized."
213,27132,"The defendant was convicted of sexually abusing two female family members, identified as Grace and Summer, when they were young children, based on conduct alleged to have occurred decades before the 2020 police reports. Both victims testified at trial that the defendant repeatedly abused them over multiple years during their childhood. The defendant denied the allegations, arguing at trial that a very small penis and erectile dysfunction made the alleged abuse physically impossible, and his counsel cross-examined the victims about inconsistencies in their accounts regarding timing, frequency, and details of the abuse to challenge their credibility."
214,21322,"The defendant pleaded guilty to possession of a controlled substance with intent to deliver, a first-degree felony, and the trial court found he used or exhibited a firearm during commission of the offense. He was placed on ten years' deferred adjudication community supervision. The State later moved to adjudicate guilt, alleging he violated supervision conditions by using marijuana, failing to report to his supervision officer, failing to pay fees, and failing to complete community service; he pleaded true to some but not all allegations. The trial court found the allegations true, adjudicated him guilty, and sentenced him to fifty years' imprisonment.}"
219,2390,"The suspect faces charges in separate incidents, including an alleged attempted sexual battery on a stranger in public, a battery on an on-duty correctional officer during a dispute over medical treatment, and, after release into a community-based living facility, another alleged attempted sexual battery on a stranger in public. The suspect has a documented history of mental illness, including schizoaffective disorder, and substance abuse, with inconsistent compliance with prescribed psychiatric medication. Evaluating experts found the suspect exhibited active psychosis, disorganized and incoherent speech, and sexually inappropriate comments during evaluations, and determined he was incompetent to proceed but likely restorable to competency with proper medication management and a structured treatment setting.ed"
220,13340,"Michael Donnell Lee was charged with murder and related offenses after Aaron James Grant was fatally shot around 2:15 a.m. on June 15, 2022. Lee was arrested shortly after the shooting and later interrogated by a detective, during which he initially invoked his Miranda rights to silence and counsel, but subsequently made incriminating statements to the detective after further exchanges about why he had been charged. The opinion focuses primarily on whether Lee's later statements, made during custodial interrogation, were lawfully obtained under Miranda and Edwards, rather than on the details of the shooting itself.”}          }`,'} Let me redo properly.  {"
221,12139,"The defendant was found guilty by a Superior Court jury of driving under the influence of alcohol, marking her third such offense. The opinion does not provide further details about how the offense was carried out or the circumstances of her apprehension. The appeal concerns only the review of the conviction under Rule 26(c), with counsel finding no meritorious issues to raise."
223,15389,"At a church that hosted a free community meal program, the defendant physically assaulted three women in rapid succession over a few minutes. He followed one victim into an enclosed stairwell, used a false pretext to touch her, then grabbed her waist, pressed his erect penis against her buttocks while thrusting, and forced his hand into her pants to her pubic area, stopping only when bystanders intervened. As two women were then escorting the shaken first victim away, he slapped or grabbed one woman's buttocks on the stairs, and shortly after, he followed another woman onto an elevator and ran his hand up her buttocks while holding his crotch and saying "
228,41215,"On November 12, 2022, in Somerton, Arizona, two people died from gunshot wounds. Police identified the defendant as a suspect and arrested him in connection with the shootings. A search of the defendant's car during the investigation uncovered a firearm. Because the defendant had a prior felony conviction that prohibited him from possessing a firearm, he was separately charged with misconduct involving weapons in addition to murder and related charges arising from the shooting incident."
233,17966,"An underage individual became intoxicated at a graduation party held on the defendant's farm, where underage attendees had brought their own alcohol onto the property; the defendant did not sell, furnish, or serve alcohol to anyone at the party. After becoming intoxicated, the underage individual drove a vehicle off the property with a passenger inside, and the vehicle crashed into a tree a half-mile away. The underage driver was killed in the collision, and the passenger was seriously injured."
235,54825,"The defendant, a man in his thirties, was the father of a child for whom a seventeen-year-old victim babysat; he used this position of trust to initiate an inappropriate sexual relationship with her, exploiting her youth and insecurities and undermining her stated desire to remain a virgin until he had sexual contact with her. When initially questioned by law enforcement about the offense, the defendant did not admit his conduct. The victim reported severe psychological harm, including depression, suicidal thoughts, and PTSD, as a result of the defendant's actions. The defendant later pleaded guilty to aggravated statutory rape.'"
237,44091,"The defendant was indicted on charges of trafficking in cocaine and possession of cocaine, each carrying a major drug offender specification, and he pleaded guilty to one count of trafficking in cocaine along with the major drug offender specification. The opinion does not provide specific factual details about how the underlying drug trafficking offense was carried out, such as the manner of transport, sale, or discovery of the cocaine. The appeal instead focuses on procedural deficiencies in the plea colloquy rather than the substantive facts of the criminal conduct."
238,20522,"Ryan pleaded guilty to abduction and two counts of aggravated menacing arising from an incident that also originally included a firearm specification, unlawful restraint, and telecommunications harassment charges before some were dismissed as part of a plea agreement. At sentencing, when asked why he committed the offense, Ryan attributed his actions to drinking alcohol and a series of poor judgments. The record also indicates a co-defendant was involved, and Ryan claimed to have disarmed that co-defendant, though this claim was raised only in mitigation at sentencing. Ryan agreed to pay restitution to the victims, not to exceed $1,500, in connection with the offense.”}     (Note: must be JSON only)  {"
242,39748,"The defendant was indicted on multiple felony drug charges in two separate cases, including counts of aggravated trafficking in drugs. She ultimately pleaded guilty to one count of aggravated trafficking in drugs in each case, with the remaining charges dismissed as part of a plea agreement. The opinion does not describe the specific manner in which the trafficking offenses were carried out, such as the drugs involved or the circumstances of any transactions or law enforcement investigation."
246,32772,"The underlying incident involved allegations that the suspect denied critical care to his child or failed to provide proper supervision, leading to a child endangerment charge. The suspect resolved the criminal case by pleading guilty to simple-misdemeanor assault. Based on this incident, the state agency subsequently determined the matter to be a founded case of child abuse and placed the suspect on the central abuse registry."
259,1509,"During a traffic stop on October 21, 2021, a deputy observed body armor in the back seat of the car the defendant was driving, within his reach. The deputy knew the defendant was a convicted felon, and when questioned, the defendant stated that a friend had given him the body armor and that he intended to return it. Based on the deputy's knowledge of the defendant's felony status, the defendant was arrested and charged with felon in possession of body armor. The opinion does not provide factual details regarding the separate forgery or theft charges also at issue in the consolidated appeal."
